true	predicted
Скайлайн (фильм)	Война миров (фильм Стивена Спилберга)
Сентиментальное путешествие на картошку	Русское поле (фильм)
Сентиментальное путешествие на картошку	Золушка (телемюзикл, 2002)
Сентиментальное путешествие на картошку	Экзамен на бессмертие
Сентиментальное путешествие на картошку	Поводырь (фильм, 2013)
Сентиментальное путешествие на картошку	Хроники обыкновенного безумия (фильм)
Сентиментальное путешествие на картошку	Своя правда (фильм)
Сентиментальное путешествие на картошку	Вешние воды (фильм)
Сентиментальное путешествие на картошку	Три августовских дня
Сентиментальное путешествие на картошку	Облепиховое лето
Сентиментальное путешествие на картошку	Савур-могила (фильм)
Лучший друг (фильм, 2000)	Новая норма
Лучший друг (фильм, 2000)	Не все папы писают стоя
Лучший друг (фильм, 2000)	Фагот (фильм)
Лучший друг (фильм, 2000)	4.3.2.1
Лучший друг (фильм, 2000)	Джулия плохо себя ведёт
Лучший друг (фильм, 2000)	Мистер идеал
Лучший друг (фильм, 2000)	Трое мужчин и младенец в люльке
Лучший друг (фильм, 2000)	Место встречи — станция «Клэпхем»
Лучший друг (фильм, 2000)	Секс в большом городе 2
Лучший друг (фильм, 2000)	Твои друзья и соседи
Королевство (фильм)	Что делать в случае пожара
Королевство (фильм)	Часовой механизм (фильм)
Королевство (фильм)	Дом на 92-й улице
Королевство (фильм)	Погребённый заживо
Королевство (фильм)	Ангел тьмы
Королевство (фильм)	Чернобыль: Зона отчуждения. Финал
Королевство (фильм)	Тайна в их глазах
Королевство (фильм)	Репортаж из преисподней
Королевство (фильм)	Воспоминания об убийстве (фильм, 2003)
Королевство (фильм)	Плёнки из Поукипзи
Готика (фильм, 2003)	Коммунальная история
Готика (фильм, 2003)	Поливальщик (фильм)
Готика (фильм, 2003)	Фантазм 5: Уничтожитель
Готика (фильм, 2003)	Комедия давно минувших дней
Готика (фильм, 2003)	Власть (фильм, 2018)
Готика (фильм, 2003)	Звёздный десант: Вторжение
Готика (фильм, 2003)	Бей первым, Фреди!
Готика (фильм, 2003)	Доктор Джекилл и милая дама
Готика (фильм, 2003)	9-1-1: Одинокая звезда
Готика (фильм, 2003)	Лего Фильм: Бэтмен
Искусственный разум (фильм)	Затемнение (фильм, 1980)
Искусственный разум (фильм)	Насмотревшись детективов
Искусственный разум (фильм)	Один за всех!
Искусственный разум (фильм)	Она вас любит
Искусственный разум (фильм)	Остановите Потапова!
Искусственный разум (фильм)	Быть Джоном Малковичем
Искусственный разум (фильм)	Кто придумал колесо?
Искусственный разум (фильм)	Великий герой-любовник
Искусственный разум (фильм)	Чувствительный милиционер
Искусственный разум (фильм)	Безумец Джеппо
Я плюю на ваши могилы	Кошмар (фильм, 1991)
Я плюю на ваши могилы	Мученицы (фильм)
Я плюю на ваши могилы	Обвиняемые (фильм)
Я плюю на ваши могилы	Кайт — девочка-убийца
Я плюю на ваши могилы	Мисс сорок пятый калибр
Я плюю на ваши могилы	Некромант (фильм, 1988)
Я плюю на ваши могилы	Не беспокоить (фильм, 2010)
Я плюю на ваши могилы	Лалола
Я плюю на ваши могилы	Невероятное
Я плюю на ваши могилы	Ильза, волчица СС
Планета сокровищ	Стальной гигант
Планета сокровищ	Коммунальная история
Планета сокровищ	Не угаснет надежда
Планета сокровищ	Смерть в космосе
Планета сокровищ	Корабль дураков (фильм)
Планета сокровищ	Фантастическая четвёрка: Вторжение Серебряного сёрфера
Планета сокровищ	О рыбаке и рыбке
Планета сокровищ	Каена: Пророчество
Планета сокровищ	Поддубный (фильм)
Воры в законе (фильм)	Золушка (телемюзикл, 2002)
Воры в законе (фильм)	В омуте Москвы
Воры в законе (фильм)	Бабушки и внучата
Воры в законе (фильм)	Прокажённая (фильм, 1928)
Воры в законе (фильм)	Я ещё вернусь (фильм)
Воры в законе (фильм)	Мои дорогие
Воры в законе (фильм)	Старая черешня
Воры в законе (фильм)	Невеста студента Певцова
Воры в законе (фильм)	Лиля навсегда
Воры в законе (фильм)	Аннушка (фильм, 1959)
Что бы вы сделали…	Маньяк-полицейский
Что бы вы сделали…	Клуб «Плейбоя»
Что бы вы сделали…	Глаза ангела (фильм, 2001)
Что бы вы сделали…	Убей меня снова
Что бы вы сделали…	100 дней с Мистером Высокомерие
Что бы вы сделали…	Коффи (фильм)
Что бы вы сделали…	Дорога (фильм, 1954)
Что бы вы сделали…	Банда Гриссомов
Что бы вы сделали…	Проблеск ночи
Что бы вы сделали…	Сестрички-зажигалки
Водный мир	Бабушки надвое сказали…
Водный мир	Рождённая революцией
Водный мир	Маньяк-полицейский 2
Водный мир	Витрина DC: Мираж
Водный мир	Охотник до сказок
Водный мир	Юленька
Водный мир	Я — черноморец!
Водный мир	Склифосовский (телесериал)
Водный мир	Журов (телесериал)
Водный мир	BEEF: Русский хип-хоп
И всё-таки я люблю…	Восьмой шар
И всё-таки я люблю…	Мамочка (фильм, 2014)
И всё-таки я люблю…	Храбрых сердцем не сломить
И всё-таки я люблю…	Малыш (фильм, 1921)
И всё-таки я люблю…	Сюзанн (фильм)
И всё-таки я люблю…	Ясмин (фильм)
И всё-таки я люблю…	Молодая кровь (фильм, 2015)
И всё-таки я люблю…	Оливер Твист (фильм, 1948)
И всё-таки я люблю…	Намерение убить
И всё-таки я люблю…	Подходящий день, чтобы сделать это
Экзамен (фильм, 2009)	Коматозники (фильм, 2017)
Экзамен (фильм, 2009)	Эффект Лазаря (фильм)
Экзамен (фильм, 2009)	Призраки опиума
Экзамен (фильм, 2009)	Доктор Рихтер
Экзамен (фильм, 2009)	Лукер
Экзамен (фильм, 2009)	Пять минут тишины (телесериал)
Экзамен (фильм, 2009)	Дом ночных призраков (фильм, 1999)
Экзамен (фильм, 2009)	Теневая зона
Экзамен (фильм, 2009)	Молодость, больница, любовь
Лабиринт (фильм, 1986)	Как кузнец счастье искал
Лабиринт (фильм, 1986)	Таинственный сад (фильм, 1993)
Лабиринт (фильм, 1986)	Fullmetal Alchemist: The Sacred Star of Milos
Лабиринт (фильм, 1986)	Принцесса-невеста
Лабиринт (фильм, 1986)	Мёртвая девушка
Лабиринт (фильм, 1986)	Заклятие (фильм)
Лабиринт (фильм, 1986)	Бугимен (фильм, 1980)
Лабиринт (фильм, 1986)	Рассказы Русалочки
Лабиринт (фильм, 1986)	В компании волков
Лабиринт (фильм, 1986)	Золотая шпага (фильм)
Марс атакует!	Йог: Монстр из космоса
Марс атакует!	Одиссей и остров туманов
Марс атакует!	Алиса на море (фильм, 1924)
Марс атакует!	Робинзон Крузо: Очень обитаемый остров
Марс атакует!	Викинги (фильм, 2008)
Марс атакует!	Девочка и океан
Марс атакует!	Солёный пёс (фильм)
Марс атакует!	Гамера против Вираса
Марс атакует!	В дальнем плавании
Марс атакует!	Митьки никого не хотят победить, или Митькимайер
Мост в Терабитию	Как кузнец счастье искал
Мост в Терабитию	Да здравствуют духи!
Мост в Терабитию	Ореховый прутик
Мост в Терабитию	Bewitched Bunny
Мост в Терабитию	Гретель и Гензель
Мост в Терабитию	Лесная песня (фильм, 1961)
Мост в Терабитию	Синдром Петрушки (фильм)
Мост в Терабитию	В лес, где мерцают светлячки
Мост в Терабитию	Мальчик из Неаполя
Мост в Терабитию	Элли и Джулс
Медовый месяц Камиллы	В буйной слепоте страстей
Медовый месяц Камиллы	Женюсь на первой встречной
Медовый месяц Камиллы	Каньон (фильм)
Медовый месяц Камиллы	Огонь, вода и… медные трубы
Медовый месяц Камиллы	Самостоятельная жизнь
Медовый месяц Камиллы	Таймлесс 3: Изумрудная книга
Медовый месяц Камиллы	Заживо погребённый 2
Медовый месяц Камиллы	Ребекка (фильм, 1962)
Медовый месяц Камиллы	Близнец, соперник
Медовый месяц Камиллы	Луговая арфа (фильм)
Любовь по-взрослому	Руководство для женатого мужчины
Любовь по-взрослому	Призраки бывших подружек
Любовь по-взрослому	И маленький ребёнок поведёт их
Любовь по-взрослому	Микки и Мод
Любовь по-взрослому	Безбрачная неделя
Любовь по-взрослому	Тебе конец!
Любовь по-взрослому	Если хочешь быть счастливым
Любовь по-взрослому	На всю катушку
Любовь по-взрослому	Аршин мал алан (фильм, 1945)
Любовь по-взрослому	Новая жизнь (фильм)
Тёмные углы	Фальстарт (фильм)
Тёмные углы	Сиделка (фильм)
Тёмные углы	Костёр пылающий
Тёмные углы	Кровавая песня
Тёмные углы	Большой и добрый великан (фильм)
Тёмные углы	Моя супербывшая
Тёмные углы	Спокойной ночи (фильм)
Тёмные углы	Сколько у тебя?
Тёмные углы	Рассвет (фильм, 2019)
Зловещие мертвецы (фильм)	Тебе конец!
Зловещие мертвецы (фильм)	Забытые (фильм, 1989)
Зловещие мертвецы (фильм)	Транжиры
Зловещие мертвецы (фильм)	Тестостерон (фильм, 2007)
Зловещие мертвецы (фильм)	Когти зла
Зловещие мертвецы (фильм)	Жадная мельничиха
Зловещие мертвецы (фильм)	Шведская спичка (фильм, 1922)
Зловещие мертвецы (фильм)	Гнилые времена
Зловещие мертвецы (фильм)	Проклятие (фильм, 2002)
Зловещие мертвецы (фильм)	Сильные духом (фильм, 1990)
Плохие парни (фильм, 1995)	Не грози Южному централу, попивая сок у себя в квартале
Плохие парни (фильм, 1995)	Денежный поезд (фильм)
Плохие парни (фильм, 1995)	Афера (фильм, 1973)
Плохие парни (фильм, 1995)	Хозяева ночи
Плохие парни (фильм, 1995)	Свободное падение (фильм, 2013)
Плохие парни (фильм, 1995)	«Весёлые» каникулы
Плохие парни (фильм, 1995)	Оранжевая любовь
Плохие парни (фильм, 1995)	Фарго (фильм)
Плохие парни (фильм, 1995)	Фильм (фильм)
Плохие парни (фильм, 1995)	Джентльмены, удачи!
Корабль-призрак (фильм, 2002)	Тайна Бермудского треугольника
Корабль-призрак (фильм, 2002)	Приключение «Посейдона»
Корабль-призрак (фильм, 2002)	Корабль (телесериал)
Корабль-призрак (фильм, 2002)	Демон ночи
Корабль-призрак (фильм, 2002)	На волне ужаса
Корабль-призрак (фильм, 2002)	Любовное гнёздышко
Корабль-призрак (фильм, 2002)	Следуя за флотом
Корабль-призрак (фильм, 2002)	Дракула 3000
Корабль-призрак (фильм, 2002)	Синьор Робинзон
Корабль-призрак (фильм, 2002)	Армавир (фильм)
Адам (фильм)	Счастливые случаи
Адам (фильм)	Ларс и настоящая девушка
Адам (фильм)	Преодолевая гравитацию
Адам (фильм)	Американская интрижка
Адам (фильм)	Под покровом ночи (фильм, 1990)
Адам (фильм)	Дыра в моём сердце
Адам (фильм)	Сны?
Адам (фильм)	Голос луны
Адам (фильм)	Писака (фильм, 2014)
Адам (фильм)	Геронтофилия (фильм)
Дети моей сестры	Житель пригорода
Дети моей сестры	В пути
Дети моей сестры	Тварь (фильм)
Дети моей сестры	Яга. Кошмар тёмного леса
Дети моей сестры	Королева сердец
Дети моей сестры	Элегия Хиллбилли (фильм)
Дети моей сестры	Человек на чердаке
Дети моей сестры	Вальс на Печоре
Дети моей сестры	Неуправляемый (фильм, 2014)
Дети моей сестры	Моя собачья жизнь
Игра (фильм, 1997)	Поймай толстуху, если сможешь
Игра (фильм, 1997)	Афера (фильм, 2003)
Игра (фильм, 1997)	Живи свободным или умри (фильм)
Игра (фильм, 1997)	Гидравлика (фильм, 2010)
Игра (фильм, 1997)	Из-за денег
Игра (фильм, 1997)	Голубая игуана (фильм)
Игра (фильм, 1997)	Одна любовь на миллион
Игра (фильм, 1997)	Аллея кошмаров (фильм, 2021)
Игра (фильм, 1997)	Дитя большого города (фильм)
Игра (фильм, 1997)	Вход в никуда
Железный человек (фильм, 2008)	Бункер (фильм, 1981, Франция)
Железный человек (фильм, 2008)	Опиумная война (фильм)
Железный человек (фильм, 2008)	Возвращение живых мертвецов 2
Железный человек (фильм, 2008)	Страйкер (фильм, 1983)
Железный человек (фильм, 2008)	Вербовщик (фильм)
Железный человек (фильм, 2008)	Счастливчики (фильм, 2008)
Железный человек (фильм, 2008)	Огненные птицы
Железный человек (фильм, 2008)	Солдат запаса до и после войны
Железный человек (фильм, 2008)	Боевой киносборник № 4
Железный человек (фильм, 2008)	Только для твоих глаз
Первобытное зло	Птичка Тари
Первобытное зло	Век невежества
Первобытное зло	Kimba the White Lion
Первобытное зло	Что случилось с крокодилом?
Первобытное зло	Тарзан (мультфильм)
Первобытное зло	Смертельная ловушка (фильм, 1976)
Первобытное зло	Тарзан, приёмыш обезьян (фильм)
Первобытное зло	Весенняя сказка (мультфильм)
Первобытное зло	Гибель титанов
Первобытное зло	Шапокляк (мультфильм)
Лихорадка (фильм, 2002)	Я — четвёртый
Лихорадка (фильм, 2002)	Поле битвы: Земля (фильм)
Лихорадка (фильм, 2002)	Ночные воины: Охотники на вампиров
Лихорадка (фильм, 2002)	Во тьме (фильм, 1979)
Лихорадка (фильм, 2002)	Человек-микросхема
Лихорадка (фильм, 2002)	Небесный крестовый поход
Лихорадка (фильм, 2002)	Смешарики. Начало
Лихорадка (фильм, 2002)	Тихое место 2
Лихорадка (фильм, 2002)	Каена: Пророчество
Лихорадка (фильм, 2002)	Скауты против зомби
Мрачные тени (фильм)	Ночь страха 2
Мрачные тени (фильм)	Лунный свет (телесериал)
Мрачные тени (фильм)	Сумерки. Сага. Новолуние
Мрачные тени (фильм)	Блэйд: Троица
Мрачные тени (фильм)	Любовницы-вампирши
Мрачные тени (фильм)	Клуб монстров (фильм)
Мрачные тени (фильм)	Блэйд 2
Мрачные тени (фильм)	Хеллбой: Кровь и металл
Мрачные тени (фильм)	Сумерки. Сага: Рассвет — Часть 2
Мрачные тени (фильм)	Сумерки. Сага. Затмение
Медовый месяц в Лас-Вегасе	Удачи, Чак!
Непристойное предложение	Удачи, Чак!
Медовый месяц в Лас-Вегасе	Удачи, Чак
Непристойное предложение	Удачи, Чак
Медовый месяц в Лас-Вегасе	Осенний бал
Непристойное предложение	Осенний бал
Медовый месяц в Лас-Вегасе	Жена авиатора
Непристойное предложение	Жена авиатора
Медовый месяц в Лас-Вегасе	Неистовый (фильм, 2020)
Непристойное предложение	Неистовый (фильм, 2020)
Медовый месяц в Лас-Вегасе	Фрэнки и Джонни (фильм, 1991)
Непристойное предложение	Фрэнки и Джонни (фильм, 1991)
Медовый месяц в Лас-Вегасе	Жемчужное ожерелье (фильм, 1915)
Непристойное предложение	Жемчужное ожерелье (фильм, 1915)
Медовый месяц в Лас-Вегасе	Красавчик Алфи, или Чего хотят мужчины
Непристойное предложение	Красавчик Алфи, или Чего хотят мужчины
Медовый месяц в Лас-Вегасе	Сексуальное намерение
Непристойное предложение	Сексуальное намерение
Медовый месяц в Лас-Вегасе	Интим (фильм)
Непристойное предложение	Интим (фильм)
Живые	Война «Тромы»
Живые	Последняя битва (фильм)
Живые	Из вечности
Живые	Штамм (телесериал)
Живые	Точка возврата (фильм)
Живые	Двенадцать спутников
Живые	Космический охотник: Приключения в запретной зоне
Живые	Приключение «Посейдона»
Живые	Тысяча героев
Живые	Ужасы паучьего острова
Роми и Мишель на встрече выпускников	Большая картина
Роми и Мишель на встрече выпускников	Барьер (фильм, 1966)
Роми и Мишель на встрече выпускников	Выбор Фредерика Фитцелла
Роми и Мишель на встрече выпускников	Сладкоголосая птица юности (фильм, 1989)
Роми и Мишель на встрече выпускников	Папик (телесериал)
Роми и Мишель на встрече выпускников	Мак и Девин идут в среднюю школу
Роми и Мишель на встрече выпускников	Мальчик-миллиардер
Роми и Мишель на встрече выпускников	Маленький старый Нью-Йорк (фильм, 1923)
Роми и Мишель на встрече выпускников	Элитное общество
Роми и Мишель на встрече выпускников	Встреча одноклассников (фильм, 2019)
Маленькая принцесса (фильм, 1995)	Крылья (фильм, 1966)
Маленькая принцесса (фильм, 1995)	Испорченная девчонка
Маленькая принцесса (фильм, 1995)	Опять надо жить
Маленькая принцесса (фильм, 1995)	На Западном фронте без перемен (фильм, 1930)
Маленькая принцесса (фильм, 1995)	Порт (фильм)
Маленькая принцесса (фильм, 1995)	Чокнутая нянька
Маленькая принцесса (фильм, 1995)	One Touch of Nature
Маленькая принцесса (фильм, 1995)	Красавицей я не была
Маленькая принцесса (фильм, 1995)	Коротышка (фильм)
Маленькая принцесса (фильм, 1995)	Запёкшаяся кровь
Астрал (фильм)	Зеркала 2
Астрал (фильм)	Я обвиняю (фильм)
Астрал (фильм)	Некромантик 2
Астрал (фильм)	Не смотри вниз
Астрал (фильм)	Порождённый
Астрал (фильм)	Страх.com
Астрал (фильм)	Блуждающий огонёк
Астрал (фильм)	Город призраков (фильм, 2008)
Астрал (фильм)	Воспоминания (фильм, 2013)
Астрал (фильм)	Страшилы
Людоед (фильм, 1999)	Геракл и амазонки
Людоед (фильм, 1999)	Топор (мультфильм)
Людоед (фильм, 1999)	Оно приходит ночью
Людоед (фильм, 1999)	Тёмная долина
Людоед (фильм, 1999)	Ужас Амитивилля (серия фильмов)
Людоед (фильм, 1999)	Воробушки
Людоед (фильм, 1999)	Три сестры, которые упали в гору
Людоед (фильм, 1999)	Продавец дождя (фильм)
Людоед (фильм, 1999)	Семь невест для семерых братьев
Людоед (фильм, 1999)	Дикая семёрка
Инстинкт (фильм)	Ужас Франкенштейна
Инстинкт (фильм)	Халк (телесериал)
Инстинкт (фильм)	Железная обезьяна
Инстинкт (фильм)	Скауты против зомби
Инстинкт (фильм)	Сила зла (фильм, 1977)
Инстинкт (фильм)	Персонаж (фильм)
Инстинкт (фильм)	Быстро, дёшево и неуправляемо
Инстинкт (фильм)	Майор Гром: Чумной Доктор
Инстинкт (фильм)	День мертвецов (фильм, 2008)
Инстинкт (фильм)	Смешарики. Начало
Мумия (фильм, 2017)	Symphony in Slang
Тор (фильм)	Symphony in Slang
Битва титанов (фильм, 2010)	Symphony in Slang
Мумия (фильм, 2017)	Крылья славы
Тор (фильм)	Крылья славы
Битва титанов (фильм, 2010)	Крылья славы
Мумия (фильм, 2017)	Аталия (фильм, 1910)
Тор (фильм)	Аталия (фильм, 1910)
Битва титанов (фильм, 2010)	Аталия (фильм, 1910)
Мумия (фильм, 2017)	Кровавый залив
Тор (фильм)	Кровавый залив
Битва титанов (фильм, 2010)	Кровавый залив
Мумия (фильм, 2017)	Тени ползут
Тор (фильм)	Тени ползут
Битва титанов (фильм, 2010)	Тени ползут
Мумия (фильм, 2017)	Хевсурская баллада
Тор (фильм)	Хевсурская баллада
Битва титанов (фильм, 2010)	Хевсурская баллада
Мумия (фильм, 2017)	Вход в пустоту
Тор (фильм)	Вход в пустоту
Битва титанов (фильм, 2010)	Вход в пустоту
Мумия (фильм, 2017)	Я обвиняю (фильм)
Тор (фильм)	Я обвиняю (фильм)
Битва титанов (фильм, 2010)	Я обвиняю (фильм)
Мумия (фильм, 2017)	Воспоминания (фильм, 2013)
Тор (фильм)	Воспоминания (фильм, 2013)
Битва титанов (фильм, 2010)	Воспоминания (фильм, 2013)
Мумия (фильм, 2017)	Подожди, пожалуй
Тор (фильм)	Подожди, пожалуй
Битва титанов (фильм, 2010)	Подожди, пожалуй
Подарок (фильм, 2009)	Аферисты (фильм, 1998)
Чёртов мобильник	Аферисты (фильм, 1998)
Подарок (фильм, 2009)	Водный мир
Чёртов мобильник	Водный мир
Подарок (фильм, 2009)	Дежа вю (фильм, 2006)
Чёртов мобильник	Дежа вю (фильм, 2006)
Подарок (фильм, 2009)	E.T.A.
Чёртов мобильник	E.T.A.
Подарок (фильм, 2009)	Смертельный богомол
Чёртов мобильник	Смертельный богомол
Подарок (фильм, 2009)	Вторжение извне
Чёртов мобильник	Вторжение извне
Подарок (фильм, 2009)	БЕРН·И
Чёртов мобильник	БЕРН·И
Подарок (фильм, 2009)	Байкер-убийца
Чёртов мобильник	Байкер-убийца
Подарок (фильм, 2009)	Буря столетия (мини-сериал)
Чёртов мобильник	Буря столетия (мини-сериал)
Подарок (фильм, 2009)	Матч-реванш
Чёртов мобильник	Матч-реванш
Поменяться местами	Сердцеедки (фильм)
Жизнь — дерьмо	Сердцеедки (фильм)
Поменяться местами	Пары (фильм)
Жизнь — дерьмо	Пары (фильм)
Поменяться местами	Смертельный марафон
Жизнь — дерьмо	Смертельный марафон
Поменяться местами	Свадебный подарок, или Всё как у людей
Жизнь — дерьмо	Свадебный подарок, или Всё как у людей
Поменяться местами	Непристойное предложение
Жизнь — дерьмо	Непристойное предложение
Поменяться местами	Наши танцующие дочери
Жизнь — дерьмо	Наши танцующие дочери
Поменяться местами	Другая женщина (фильм, 2014)
Жизнь — дерьмо	Другая женщина (фильм, 2014)
Поменяться местами	Американцы (телесериал)
Жизнь — дерьмо	Американцы (телесериал)
Поменяться местами	Безумное свидание
Жизнь — дерьмо	Безумное свидание
Поменяться местами	Черри-2000
Жизнь — дерьмо	Черри-2000
Джейсон X	Планета вампиров
Джейсон X	Hell Target
Джейсон X	Планета обезьян (фильм, 1968)
Джейсон X	AVH: Чужой против Охотника
Джейсон X	Последний охотник (фильм, 2010)
Джейсон X	Под планетой обезьян
Джейсон X	Мятеж в космосе (фильм, 1988)
Джейсон X	Аманда и инопланетянин
Джейсон X	Ночной полёт (фильм, 1987)
Джейсон X	Урок (мультфильм)
Смертельный лабиринт	Лоботрясы
Смертельный лабиринт	Игра в убийство
Смертельный лабиринт	Нечто: Тотальное заражение
Смертельный лабиринт	Фильм (фильм)
Смертельный лабиринт	Фантазм 2
Смертельный лабиринт	Ошибка грабителя
Смертельный лабиринт	Кролики (фильм)
Смертельный лабиринт	Неистовый (фильм, 2020)
Смертельный лабиринт	Трое мужчин и младенец в люльке
Смертельный лабиринт	Клетка для канареек
Жизнь — дерьмо	Вызов (фильм, 1958)
Жизнь — дерьмо	Хороший лжец
Жизнь — дерьмо	В золотой клетке (фильм)
Жизнь — дерьмо	Выбор Фредерика Фитцелла
Жизнь — дерьмо	Дьявол (фильм, 1978)
Жизнь — дерьмо	Фрэнки и Джонни (фильм, 1991)
Жизнь — дерьмо	Отпетые мошенницы
Жизнь — дерьмо	Купи меня
Жизнь — дерьмо	Весь я (фильм)
Жизнь — дерьмо	Маленький старый Нью-Йорк (фильм, 1923)
Игра (фильм, 1997)	Сигаретный ожог
Игра (фильм, 1997)	Крысиные бега (фильм)
Игра (фильм, 1997)	Гонка 2
Игра (фильм, 1997)	13 грехов
Игра (фильм, 1997)	И в дождь, и в зной
Игра (фильм, 1997)	Гость (фильм, 1995)
Игра (фильм, 1997)	Ж. К. В. Д.
Игра (фильм, 1997)	Папарацци (фильм, 1998, Франция)
Игра (фильм, 1997)	Бродяга (фильм, 1992)
Игра (фильм, 1997)	Инкассатор (фильм, 2021)
Синдбад и глаз тигра	Повелитель зверей 2: Сквозь врата времени
Синдбад и глаз тигра	Белый бизон (фильм)
Синдбад и глаз тигра	Циклоп (фильм)
Синдбад и глаз тигра	Король Лев (фильм, 2019)
Синдбад и глаз тигра	Wild and Woolfy
Синдбад и глаз тигра	Негритянская сказка
Синдбад и глаз тигра	Ронал-варвар
Синдбад и глаз тигра	Безграничный Бэтмен: Животные инстинкты
Синдбад и глаз тигра	Приключения пана Антония
Синдбад и глаз тигра	Слава отцу Фелунатху
Точка обстрела	В полосе прибоя
Точка обстрела	Охота за ночным убийцей
Точка обстрела	Бархатный сезон (фильм)
Точка обстрела	Плёнки из Поукипзи
Точка обстрела	О друзьях-товарищах
Точка обстрела	Кодекс молчания (фильм, 1990)
Точка обстрела	Мари-Октябрь
Точка обстрела	Бандиты в Милане
Точка обстрела	Без видимых причин (фильм, 1982)
Точка обстрела	Уран (фильм)
Воспитатели	Воскресные любовники
Воспитатели	Разные миры
Воспитатели	Большая жратва (фильм, 1973)
Воспитатели	Любовь и страсть
Воспитатели	Лазурный берег (фильм, 2015)
Воспитатели	Безумный секс
Воспитатели	Глубокие воды (фильм, 1981)
Воспитатели	Чёртов мобильник
Воспитатели	Отпетые мошенницы
Воспитатели	Обнажённое танго
Между небом и землёй (фильм, 2005)	Страна ОЗ (фильм)
Между небом и землёй (фильм, 2005)	Я вернусь к тебе
Между небом и землёй (фильм, 2005)	Счастливого дня смерти
Между небом и землёй (фильм, 2005)	Безудержная
Между небом и землёй (фильм, 2005)	Кловерфилд, 10
Между небом и землёй (фильм, 2005)	Она и он
Между небом и землёй (фильм, 2005)	Последняя пятница. Джейсон отправляется в ад
Между небом и землёй (фильм, 2005)	Доверие (фильм, 1990)
Между небом и землёй (фильм, 2005)	Жизнь взаймы (фильм)
Между небом и землёй (фильм, 2005)	Умереть молодым
Легенда о пианисте	The Cat Concerto
Легенда о пианисте	Этажом выше (фильм, 1937)
Легенда о пианисте	Гудение, свист, звон и гул
Легенда о пианисте	Странное увлечение
Легенда о пианисте	Мы из джаза
Легенда о пианисте	I Love to Singa
Легенда о пианисте	Бурная вечеринка
Легенда о пианисте	Около полуночи
Легенда о пианисте	Яблочко (фильм)
Легенда о пианисте	Звезда родилась (фильм, 1976)
Отряд с фантастической миссией (фильм)	Река (телесериал)
Отряд с фантастической миссией (фильм)	Безрассудные (фильм, 1995)
Отряд с фантастической миссией (фильм)	Войдите, страждущие! (фильм)
Отряд с фантастической миссией (фильм)	Призрак любви
Отряд с фантастической миссией (фильм)	Дать дуба в округе Юба
Отряд с фантастической миссией (фильм)	В год тринадцати лун
Отряд с фантастической миссией (фильм)	Внутренняя империя (фильм)
Отряд с фантастической миссией (фильм)	Хохотушка
Отряд с фантастической миссией (фильм)	Вход в никуда
Отряд с фантастической миссией (фильм)	Ночи Кабирии
Prada и чувства	В золотой клетке (фильм)
Prada и чувства	Чокнутая нянька
Prada и чувства	Трупы (фильм, 2009)
Prada и чувства	Отбой (фильм, 2000)
Prada и чувства	Фрэнки и Джонни (фильм, 1991)
Prada и чувства	Большие девочки не плачут… они дают сдачи
Prada и чувства	Босиком по слизнякам
Prada и чувства	Яга. Кошмар тёмного леса
Prada и чувства	Убей меня позже
Prada и чувства	Бугимен (фильм, 1980)
На крючке (фильм, 2008)	Комната смерти (фильм, 2007)
На крючке (фильм, 2008)	Люди (телесериал)
На крючке (фильм, 2008)	Я знаю, что вы снимали этим летом
На крючке (фильм, 2008)	Муха (фильм, 1986)
На крючке (фильм, 2008)	Белый медведь 9-го калибра
На крючке (фильм, 2008)	Пушки Акимбо
На крючке (фильм, 2008)	Тредстоун
На крючке (фильм, 2008)	Сканнеры
На крючке (фильм, 2008)	Мои ночи прекраснее ваших дней
На крючке (фильм, 2008)	Сила внутри нас
Топь (фильм)	Зловещие мертвецы: Чёрная книга
Топь (фильм)	Убийственное безумие
Топь (фильм)	Проводник (фильм, 2018)
Топь (фильм)	Колыбель кошмаров
Топь (фильм)	Орудия смерти: Город костей
Топь (фильм)	Байки из склепа: Кровавый бордель
Топь (фильм)	Бугимен 2
Топь (фильм)	Колдовская доска 2
Топь (фильм)	Ирис в крови
Топь (фильм)	Доппельгангер (фильм)
Остаться в живых (фильм, 2006, США)	Убийственное безумие
Остаться в живых (фильм, 2006, США)	Игра в убийство
Остаться в живых (фильм, 2006, США)	Дневники мертвецов
Остаться в живых (фильм, 2006, США)	Ночной прибой (фильм)
Остаться в живых (фильм, 2006, США)	Я обвиняю (фильм)
Остаться в живых (фильм, 2006, США)	Танец мёртвых
Остаться в живых (фильм, 2006, США)	На игре 2. Новый уровень
Остаться в живых (фильм, 2006, США)	.hack//GIFT
Остаться в живых (фильм, 2006, США)	В буйной слепоте страстей
Остаться в живых (фильм, 2006, США)	Кричи и снова кричи
Катакомбы (фильм, 2007)	Клуб «Плейбоя»
Катакомбы (фильм, 2007)	Браво, куколка!
Катакомбы (фильм, 2007)	Орудия смерти: Город костей
Катакомбы (фильм, 2007)	Колыбель кошмаров
Катакомбы (фильм, 2007)	Мисс сорок пятый калибр
Катакомбы (фильм, 2007)	В шоу только девушки
Катакомбы (фильм, 2007)	Байки из склепа: Кровавый бордель
Катакомбы (фильм, 2007)	Венесекция
Катакомбы (фильм, 2007)	Невероятно странные создания, которые перестали жить и превратились в зомби
